,sentence,sentence_preprocessed,sentence_length,high_low_freq,word_level,long_word_count,is_complete_sentence,is_complete_context
0,陳總統元旦文告調整戒急用忍,陳 總統 元旦 文告 調整 戒急用忍,6,"{'High': 3, 'Low': 3}","{'Unknown': 3, '第4級': 1, '第4*級': 2}",1,Y,Y
1,【記者夏成淵報導】今天是中華民國九十年元旦，也是二十一世紀的第一天，陳水扁總統發表跨世紀談話，並且向全民祝賀新年。陳總統表示，過去政府的「戒急用忍」政策有當時的背景及其必要，但是未來政府將以「積極開放，有效管理」的新視野，規畫我們的新世紀經貿版圖。,記者 夏成淵 報導 今天 是 中華民國 九十年 元旦 也 是 二十一世紀 的 第一 天 陳水扁 總統 發表 跨 世紀 談話 並且 向 全民 祝賀 新年 陳 總統 表示 過去 政府 的 戒急用忍 政策 有 當時 的 背景 及 其 必要 但是 未來 政府 將 以 積極 開放 有效 管理 的 新 視野 規畫 我們 的 新 世紀 經貿 版圖,59,"{'High': 55, 'Low': 4}","{'第4級': 12, 'Unknown': 9, '第5級': 9, '第1級': 14, '第4*級': 7, '第2級': 3, '第2*級': 1, '第3*級': 1, '第6級': 2, '第7級': 1}",6,Y,Y
2,陳總統指出，二十一世紀，經濟競爭力依然是我們賴以生存的命脈。面對全球景氣循環的低潮以及包括美國、日本等國家經濟成長的向下修正，臺灣地區的經濟繁榮將再次面臨高難度的考驗，政府與民間要為最壞的可能做最好的準備。,陳 總統 指出 二十一世紀 經濟 競爭力 依然 是 我們 賴以 生存 的 命脈 面對 全球 景氣 循環 的 低潮 以及 包括 美國 日本 等 國家 經濟 成長 的 向 下 修正 臺灣 地區 的 經濟 繁榮 將 再次 面臨 高難度 的 考驗 政府 與 民間 要 為 最 壞 的 可能 做 最 好 的 準備,56,"{'High': 52, 'Low': 4}","{'Unknown': 8, '第4級': 8, '第6級': 2, '第1級': 15, '第7級': 2, '第5級': 9, '第4*級': 3, '第3*級': 2, '第1*級': 4, '第2級': 2, '第2*級': 1}",3,Y,Y
3,另外，因應我們即將加入世界貿易組織，陳總統說，政府有責任面對全新的經濟情勢，將包括兩岸經貿在內的各項課題，重新納入全球市場的考量。他說，在過去的「戒急用忍」之外，未來我們將以「積極開放，有效管理」的新視野，在知識經濟的既定方針之下，為新世紀經貿版圖做出宏觀的規畫，並且逐步加以落實。,另外 因應 我們 即將 加入 世界 貿易 組織 陳 總統 說 政府 有 責任 面對 全新 的 經濟 情勢 將 包括 兩岸 經貿 在 內 的 各 項 課題 重新 納入 全球 市場 的 考量 他 說 在 過去 的 戒急用忍 之外 未來 我們 將 以 積極 開放 有效 管理 的 新 視野 在 知識 經濟 的 既定 方針 之下 為 新 世紀 經貿 版圖 做出 宏觀 的 規畫 並且 逐步 加以 落實,73,"{'High': 70, 'Low': 3}","{'第3級': 2, '第6級': 8, '第1級': 15, '第4級': 13, '第2級': 3, '第4*級': 4, '第5級': 11, 'Unknown': 11, '第3*級': 2, '第1*級': 3, '第7級': 1}",1,Y,N
4,陳水扁總統說，面對過去半年多以來的政經情勢，國人應該都能深刻的體會，有穩定的政局才有經濟的繁榮，有穩定的政局也才有改革和進步。,陳水扁 總統 說 面對 過去 半 年 多 以來 的 政經 情勢 國人 應該 都 能 深刻 的 體會 有 穩定 的 政局 才 有 經濟 的 繁榮 有 穩定 的 政局 也 才 有 改革 和 進步,38,{'High': 38},"{'Unknown': 6, '第4級': 3, '第1級': 15, '第4*級': 5, '第5級': 4, '第1*級': 2, '第2級': 3}",1,Y,Y
5,在兩岸問題方面，陳總統強調，依據中華民國憲法，「一個中國」原本並不是問題，也希望對岸能夠深入了解臺灣地區人民心中的疑慮在哪裡，尊重兩千三百多萬人民的意志。,在 兩岸 問題 方面 陳 總統 強調 依據 中華民國 憲法 一 個 中國 原本 並 不 是 問題 也 希望 對岸 能夠 深入 了解 臺灣 地區 人民 心 中 的 疑慮 在 哪裡 尊重 兩千三百多萬 人民 的 意志,38,"{'High': 37, 'Low': 1}","{'第1*級': 2, 'Unknown': 5, '第1級': 12, '第3*級': 2, '第4級': 2, '第5級': 5, '第6級': 4, '第4*級': 4, '第2級': 2}",2,Y,Y
6,陳總統認為，兩岸原是一家人，也有共存共榮的相同目標，應該要相互體諒、相互提攜。他呼籲對岸的政府與領導人，尊重中華民國生存的空間與國際的尊嚴，公開放棄武力的威脅，以最大的氣度和前瞻的智慧，超越目前的僵局，從兩岸經貿與文化的統合開始著手，逐步建立兩岸之間的信任，進而共同尋求兩岸永久和平、政治統合的新架構。為二十一世紀兩岸人民最大的福祉，攜手開拓無限可能的空間。,陳 總統 認為 兩岸 原是 一家人 也 有 共存 共榮 的 相同 目標 應該 要 相互 體諒 相互 提攜 他 呼籲 對岸 的 政府 與 領導人 尊重 中華民國 生存 的 空間 與 國際 的 尊嚴 公開 放棄 武力 的 威脅 以 最 大 的 氣度 和 前瞻 的 智慧 超越 目前 的 僵局 從 兩岸 經貿 與 文化 的 統合 開始 著手 逐步 建立 兩岸 之間 的 信任 進而 共同 尋求 兩岸 永久 和平 政治 統合 的 新 架構 為 二十一世紀 兩岸 人民 最 大 的 福祉 攜手 開拓 無限 可能 的 空間,93,"{'High': 85, 'Low': 8}","{'Unknown': 15, '第4級': 13, '第2級': 3, '第1級': 21, '第6級': 11, '第1*級': 4, '第5級': 15, '第7級': 5, '第4*級': 6}",4,Y,Y
7,新郵賀吉祥,新 郵 賀 吉祥,4,"{'High': 1, 'Low': 3}","{'第1級': 1, 'Unknown': 2, '第7級': 1}",0,Y,Y
8,新歲祈求萬事吉祥，是中國傳統習俗，為讓國人對傳統文化有更深的體認，交通部郵政總局以「並蒂連心」、「連中三元」、「榴開百子」及「白頭富貴」為主題，印製九十年版的「吉祥郵票」，預定明天發行，面值為五元和十二元各兩枚。,新歲 祈求 萬事 吉祥 是 中國 傳統 習俗 為 讓 國人 對 傳統 文化 有 更深 的 體認 交通部 郵政 總局 以 並 蒂 連心 連 中 三 元 榴 開 百 子 及 白頭 富貴 為 主題 印製 九十年版 的 吉祥 郵票 預定 明天 發行 面值 為 五 元 和 十二 元 各 兩 枚,56,"{'Low': 16, 'High': 40}","{'Unknown': 19, '第6級': 4, '第7級': 3, '第1級': 14, '第3級': 2, '第5級': 5, '第2級': 3, '第4*級': 1, '第3*級': 2, '第1*級': 1, '第4級': 1, '第2*級': 1}",2,Y,Y
9,國中學力測驗研議加考英聽,國中 學力 測驗 研議 加考 英聽,6,"{'High': 3, 'Low': 3}","{'第4級': 1, 'Unknown': 3, '第4*級': 1, '第7級': 1}",0,Y,Y
