sentence,sentence_preprocessed,sentence_length,word_freq,high_low_freq,word_level,long_word_count,is_complete_sentence,is_complete_context,is_blacklist,is_greylist
七十歲的老翁周鈞，不滿其妻屢次紅杏出牆，使他戴綠帽，怒而趁其妻熟睡之際，持鐵管將她打死，昨日經屏東地檢署依殺人罪嫌提起公訴。,七十 歲 的 老翁 周鈞 不滿 其 妻 屢次 紅杏出牆 使 他 戴 綠帽 怒 而 趁 其 妻 熟睡 之 際 持 鐵管 將 她 打死 昨日 經 屏東 地檢署 依 殺 人 罪嫌 提起公訴,36,七十(4970) 歲(130085) 的(16029838) 老翁(1019) 周鈞(Unknown) 不滿(12145) 其(307905) 妻(11654) 屢次(1798) 紅杏出牆(142) 使(197544) 他(2487930) 戴(25973) 綠帽(21) 怒(4927) 而(937923) 趁(9845) 其(307905) 妻(11654) 熟睡(1447) 之(875481) 際(14344) 持(11680) 鐵管(91) 將(448374) 她(1052913) 打死(3829) 昨日(2036) 經(38471) 屏東(1874) 地檢署(52) 依(37519) 殺(54527) 人(1550512) 罪嫌(182) 提起公訴(102),"{'High': 32, 'Low': 4}","{'Unknown': 15, '第1級': 5, '第5級': 7, '第6級': 4, '第4*級': 2, '第2級': 1, '第4級': 2}",3,Y,Y,N,Y
住在恆春鎮墾丁里十鄰社興路一二二號的七十歲老翁周鈞，由於無能為力，其妻周潘金花乃經常在其店內與其他男子燕好，發生姦情，使他忍無可忍。,住 在 恆春鎮 墾丁里 十鄰 社興路 一二二號 的 七十 歲 老翁 周鈞 由於 無能為力 其 妻 周潘金花 乃 經常 在 其 店 內 與 其他 男子 燕好 發生 姦情 使 他 忍無可忍,32,住(69815) 在(3284238) 恆春鎮(57) 墾丁里(2) 十鄰(2) 社興路(1) 一二二號(1) 的(16029838) 七十(4970) 歲(130085) 老翁(1019) 周鈞(Unknown) 由於(88111) 無能為力(2087) 其(307905) 妻(11654) 周潘金花(Unknown) 乃(32413) 經常(49295) 在(3284238) 其(307905) 店(17690) 內(183051) 與(968432) 其他(189445) 男子(17448) 燕好(30) 發生(129211) 姦情(139) 使(197544) 他(2487930) 忍無可忍(905),"{'High': 24, 'Low': 8}","{'第1*級': 4, 'Unknown': 11, '第1級': 3, '第4*級': 4, '第6級': 5, '第3*級': 1, '第3級': 2, '第2級': 1, '第5級': 1}",7,Y,Y,N,Y
由於潘女屢次紅杏出牆都在自己宅中，因而周懷恨其妻對他視若無睹，怒而趁其妻在熟睡之際，持長鐵管猛擊其頭部，使其妻右額頭骨折，大腦破裂，經人送醫救治，仍告回天乏術。,由於 潘女 屢次 紅杏出牆 都 在 自己 宅 中 因而 周 懷恨 其 妻 對 他 視若無睹 怒 而 趁 其 妻 在 熟睡 之 際 持 長 鐵管 猛擊 其 頭部 使 其 妻 右 額頭 骨折 大腦 破裂 經 人 送醫 救治 仍 告 回天乏術,47,由於(88111) 潘女(Unknown) 屢次(1798) 紅杏出牆(142) 都(1125846) 在(3284238) 自己(744739) 宅(1399) 中(1011729) 因而(29060) 周(10111) 懷恨(927) 其(307905) 妻(11654) 對(897964) 他(2487930) 視若無睹(606) 怒(4927) 而(937923) 趁(9845) 其(307905) 妻(11654) 在(3284238) 熟睡(1447) 之(875481) 際(14344) 持(11680) 長(107092) 鐵管(91) 猛擊(280) 其(307905) 頭部(5436) 使(197544) 其(307905) 妻(11654) 右(25674) 額頭(4872) 骨折(1379) 大腦(35181) 破裂(2672) 經(38471) 人(1550512) 送醫(486) 救治(368) 仍(92056) 告(6806) 回天乏術(160),"{'High': 45, 'Low': 2}","{'第4*級': 4, 'Unknown': 14, '第6級': 7, '第1級': 4, '第1*級': 4, '第5級': 9, '第7級': 3, '第4級': 2}",3,Y,Y,N,Y
案發後，周向墾丁派出所自首，檢察官依周犯案情節，加上素行良好，因此向地院請求判處徒刑十年，以示懲處。,案發 後 周 向 墾丁 派出所 自首 檢察官 依 周 犯案 情節 加上 素行 良好 因此 向 地院 請求 判處 徒刑 十 年 以 示 懲處,26,案發(826) 後(422857) 周(10111) 向(231672) 墾丁(577) 派出所(646) 自首(659) 檢察官(2517) 依(37519) 周(10111) 犯案(715) 情節(13618) 加上(38121) 素行(181) 良好(16069) 因此(184606) 向(231672) 地院(68) 請求(13908) 判處(1230) 徒刑(460) 十(77415) 年(514736) 以(547785) 示(6571) 懲處(1101),"{'High': 25, 'Low': 1}","{'Unknown': 10, '第1級': 3, '第5級': 5, '第2級': 2, '第6級': 1, '第3級': 1, '第4*級': 2, '第7級': 2}",2,Y,Y,N,Y
高雄縣刑警隊昨日凌晨偵破一起持槍恐嚇取財案，染有吸食安非他命惡習的十九歲男子簡瑞和，涉嫌以繩子綑綁被害人，強立十萬元本票，取款未果，憤持酒瓶猛砸被害人頭部後離去。,高雄縣 刑警隊 昨日 凌晨 偵破 一 起 持 槍 恐嚇 取財 案 染有 吸食 安非他命 惡習 的 十九 歲 男子 簡瑞和 涉嫌 以 繩子 綑綁 被害人 強 立 十萬 元 本票 取款 未果 憤 持 酒瓶 猛 砸 被害人 頭部 後 離去,42,高雄縣(866) 刑警隊(15) 昨日(2036) 凌晨(3229) 偵破(280) 一(3701681) 起(96746) 持(11680) 槍(16487) 恐嚇(2060) 取財(32) 案(11719) 染有(89) 吸食(1214) 安非他命(486) 惡習(1181) 的(16029838) 十九(5778) 歲(130085) 男子(17448) 簡瑞和(Unknown) 涉嫌(2037) 以(547785) 繩子(5377) 綑綁(671) 被害人(955) 強(34876) 立(17750) 十萬(5508) 元(60807) 本票(115) 取款(51) 未果(347) 憤(965) 持(11680) 酒瓶(1363) 猛(12538) 砸(2856) 被害人(955) 頭部(5436) 後(422857) 離去(8931),"{'High': 37, 'Low': 5}","{'Unknown': 20, '第5級': 6, '第6級': 5, '第1級': 5, '第3*級': 1, '第4級': 1, '第4*級': 2, '第7級': 2}",6,Y,N,N,Y
警方據報後，循線在台南縣新化鎮逮獲簡嫌，當場起出身上一把海盜式改造手槍。,警方 據報 後 循線 在 台南縣 新化鎮 逮獲 簡嫌 當場 起出 身 上 一 把 海盜式 改造 手槍,18,警方(8008) 據報(99) 後(422857) 循線(153) 在(3284238) 台南縣(404) 新化鎮(8) 逮獲(25) 簡嫌(Unknown) 當場(6478) 起出(89) 身(122324) 上(1233218) 一(3701681) 把(617773) 海盜式(8) 改造(6226) 手槍(3564),"{'High': 12, 'Low': 6}","{'Unknown': 9, '第1級': 3, '第1*級': 1, '第5級': 2, '第4*級': 1, '第2級': 1, '第6級': 1}",3,Y,N,N,Y
子彈一發以及安非他命空瓶，偵訊後移送法辦。,子彈 一 發 以及 安非他命 空瓶 偵訊 後 移送法辦,9,子彈(4296) 一(3701681) 發(22092) 以及(155624) 安非他命(486) 空瓶(158) 偵訊(646) 後(422857) 移送法辦(66),"{'High': 8, 'Low': 1}","{'第6級': 1, '第1級': 2, '第4級': 1, '第5級': 1, 'Unknown': 4}",2,Y,Y,N,N
警方調查，嫌犯簡瑞和(十九歲，鳳山市人，有妨害自由。,警方 調查 嫌犯 簡瑞和 十九 歲 鳳山市人 有 妨害 自由,10,警方(8008) 調查(34821) 嫌犯(1224) 簡瑞和(Unknown) 十九(5778) 歲(130085) 鳳山市人(2) 有(2217079) 妨害(646) 自由(56360),"{'High': 8, 'Low': 2}","{'Unknown': 5, '第4*級': 1, '第7級': 1, '第1級': 2, '第3*級': 1}",2,Y,N,N,Y
恐嚇。,恐嚇,1,恐嚇(2060),{'High': 1},{'第6級': 1},0,Y,N,N,N
預備殺人。,預備 殺 人,3,預備(3142) 殺(54527) 人(1550512),{'High': 3},"{'第5級': 1, '第4級': 1, '第1級': 1}",0,Y,N,N,N
違反槍械彈藥刀械管制條例。,違反 槍械 彈藥 刀械 管制 條例,6,違反(6717) 槍械(452) 彈藥(1005) 刀械(27) 管制(5335) 條例(3394),"{'High': 5, 'Low': 1}","{'第6級': 3, 'Unknown': 2, '第7級': 1}",0,Y,N,N,N
菸酒專賣條例前科)在外成群結黨，為鞏固地盤擁槍自重，且嚴重染有吸食安非他命惡習。,菸酒 專賣 條例 前科 在外 成群 結黨 為 鞏固 地盤 擁 槍 自重 且 嚴重 染有 吸食 安非他命 惡習,19,菸酒(290) 專賣(904) 條例(3394) 前科(419) 在外(2509) 成群(1805) 結黨(482) 為(761341) 鞏固(4060) 地盤(3040) 擁(2289) 槍(16487) 自重(817) 且(67015) 嚴重(39284) 染有(89) 吸食(1214) 安非他命(486) 惡習(1181),"{'High': 18, 'Low': 1}","{'Unknown': 8, '第6級': 7, '第4級': 1, '第7級': 1, '第3級': 1, '第3*級': 1}",1,Y,Y,N,N
