sentence,sentence_preprocessed,sentence_length,word_freq,high_low_freq,word_level,long_word_count,is_complete_sentence,is_complete_context,is_blacklist,is_greylist
去年三月間總統暨副總統選舉期間，高雄縣甲仙鄉兵役課員林家敏，因個人主觀上對於候選人的好惡，涉嫌將宋楚瑜、張昭雄的得票數與陳水扁、呂秀蓮得票數互換，使宋楚瑜少算四十票，陳水扁多計四十票，高雄地檢署依偽造文書罪嫌將林某起訴，並認為他嚴重斲喪選舉制度，具體求刑一年六個月。,去年 三月 間 總統 暨 副 總統 選舉 期間 高雄縣 甲仙鄉 兵役課員 林家敏 因 個人 主觀 上 對於 候選人 的 好惡 涉嫌 將 宋楚瑜 張昭雄 的 得票數 與 陳水扁 呂秀蓮 得票數 互換 使 宋楚瑜 少 算 四十 票 陳水扁 多 計 四十 票 高雄 地檢署 依 偽造 文書 罪嫌 將 林某 起訴 並 認為 他 嚴重 斲喪 選舉 制度 具體 求刑 一 年 六 個 月,66,去年(9462) 三月(16043) 間(115638) 總統(23662) 暨(3829) 副(21458) 總統(23662) 選舉(8292) 期間(32981) 高雄縣(866) 甲仙鄉(32) 兵役課員(Unknown) 林家敏(Unknown) 因(119364) 個人(76253) 主觀(6792) 上(1233218) 對於(99570) 候選人(4847) 的(16029838) 好惡(1091) 涉嫌(2037) 將(448374) 宋楚瑜(491) 張昭雄(34) 的(16029838) 得票數(90) 與(968432) 陳水扁(1345) 呂秀蓮(173) 得票數(90) 互換(965) 使(197544) 宋楚瑜(491) 少(50762) 算(33905) 四十(15256) 票(8213) 陳水扁(1345) 多(318992) 計(12194) 四十(15256) 票(8213) 高雄(4674) 地檢署(52) 依(37519) 偽造(1809) 文書(3630) 罪嫌(182) 將(448374) 林某(37) 起訴(1999) 並(442790) 認為(192030) 他(2487930) 嚴重(39284) 斲喪(71) 選舉(8292) 制度(37973) 具體(20349) 求刑(15) 一(3701681) 年(514736) 六(77936) 個(2296574) 月(148997),"{'High': 56, 'Low': 10}","{'第1級': 12, 'Unknown': 26, '第4級': 4, '第6級': 5, '第5級': 9, '第4*級': 4, '第7級': 1, '第2級': 4, '第3*級': 1}",14,Y,Y,N,Y
檢察官起訴指出，被告林家敏(五十一歲)在去年三月十八日舉行的第十任總統、副總統選舉時，擔任高雄縣甲仙鄉第八○四投開票所主任管理員，投開票結束後，計票員李武璋將五組候選人投票數登記在計票紙上，其中候選人宋楚瑜、張昭雄得票數三百六十六票，陳水扁、呂秀蓮三百廿六票。,檢察官 起訴 指出 被告 林家敏 五十一 歲 在 去年 三月 十八日 舉行 的 第十 任 總統 副總統 選舉 時 擔任 高雄縣 甲仙鄉 第八四 投開票所 主任 管理員 投開票 結束 後 計票員 李武璋 將 五 組 候選人 投票數 登記 在 計票紙 上 其中 候選人 宋楚瑜 張昭雄 得票數 三百六十六 票 陳水扁 呂秀蓮 三百廿六 票,51,檢察官(2517) 起訴(1999) 指出(38456) 被告(2948) 林家敏(Unknown) 五十一(615) 歲(130085) 在(3284238) 去年(9462) 三月(16043) 十八日(2987) 舉行(17660) 的(16029838) 第十(3680) 任(37811) 總統(23662) 副總統(1411) 選舉(8292) 時(623734) 擔任(34825) 高雄縣(866) 甲仙鄉(32) 第八四(Unknown) 投開票所(Unknown) 主任(13859) 管理員(2148) 投開票(Unknown) 結束(40669) 後(422857) 計票員(5) 李武璋(Unknown) 將(448374) 五(112649) 組(22075) 候選人(4847) 投票數(13) 登記(11083) 在(3284238) 計票紙(Unknown) 上(1233218) 其中(95627) 候選人(4847) 宋楚瑜(491) 張昭雄(34) 得票數(90) 三百六十六(20) 票(8213) 陳水扁(1345) 呂秀蓮(173) 三百廿六(Unknown) 票(8213),"{'High': 38, 'Low': 13}","{'第6級': 3, 'Unknown': 25, '第1級': 6, '第1*級': 2, '第4級': 3, '第5級': 6, '第3*級': 3, '第4*級': 1, '第2級': 2}",24,Y,N,N,Y
林家敏利用主任監察員林玉華事先已在投開票所報告表上簽名蓋章的機會，在投開票所報告表上將這二組候選人得票數互換，反而記載宋楚瑜、張昭雄獲得三百廿六票，陳水扁、呂秀蓮得三百六十六票，並將不實的得票數向甲仙鄉選務作業中心及執行秘書郭銘松報告。,林家敏 利用 主任 監察員 林玉華 事先 已 在 投開票所 報告表 上 簽名 蓋章 的 機會 在 投開票所 報告表 上將 這 二 組 候選人 得票數 互換 反而 記載 宋楚瑜 張昭雄 獲得 三百廿六 票 陳水扁 呂秀蓮 得 三百六十六 票 並 將 不實 的 得票數 向 甲仙鄉 選務 作業 中心 及 執行 秘書 郭銘松 報告,52,林家敏(Unknown) 利用(49229) 主任(13859) 監察員(59) 林玉華(1) 事先(9723) 已(215610) 在(3284238) 投開票所(Unknown) 報告表(14) 上(1233218) 簽名(3791) 蓋章(371) 的(16029838) 機會(81244) 在(3284238) 投開票所(Unknown) 報告表(14) 上將(727) 這(2114032) 二(152494) 組(22075) 候選人(4847) 得票數(90) 互換(965) 反而(39627) 記載(18376) 宋楚瑜(491) 張昭雄(34) 獲得(54809) 三百廿六(Unknown) 票(8213) 陳水扁(1345) 呂秀蓮(173) 得(573721) 三百六十六(20) 票(8213) 並(442790) 將(448374) 不實(1563) 的(16029838) 得票數(90) 向(231672) 甲仙鄉(32) 選務(47) 作業(16954) 中心(46076) 及(304586) 執行(25364) 秘書(5656) 郭銘松(Unknown) 報告(37237),"{'Low': 15, 'High': 37}","{'Unknown': 23, '第3*級': 1, '第4級': 2, '第5級': 9, '第3級': 3, '第1*級': 2, '第1級': 5, '第2級': 5, '第4*級': 2}",18,Y,Y,N,Y
開票翌日，甲仙鄉代會主席江永吉看報時，發現宋楚瑜、張昭雄與陳水扁、呂秀蓮的得票數，跟民眾向其提供的得票數不符，向郭銘松追問，郭向林家敏查問，林某見事跡敗露，承認投開票所報告表上的登記有誤，案經宋楚瑜、張昭雄提出告訴。,開票 翌日 甲仙 鄉代會 主席 江永吉 看 報 時 發現 宋楚瑜 張昭雄 與 陳水扁 呂秀蓮 的 得票數 跟 民眾 向 其 提供 的 得票數 不符 向 郭銘松 追問 郭 向 林家敏 查問 林某 見 事跡 敗露 承認 投開票所 報告表 上 的 登記 有 誤 案 經 宋楚瑜 張昭雄 提出 告訴,50,開票(140) 翌日(1946) 甲仙(178) 鄉代會(2) 主席(9526) 江永吉(Unknown) 看(444691) 報(19250) 時(623734) 發現(175233) 宋楚瑜(491) 張昭雄(34) 與(968432) 陳水扁(1345) 呂秀蓮(173) 的(16029838) 得票數(90) 跟(260280) 民眾(17097) 向(231672) 其(307905) 提供(73097) 的(16029838) 得票數(90) 不符(1678) 向(231672) 郭銘松(Unknown) 追問(4037) 郭(2975) 向(231672) 林家敏(Unknown) 查問(534) 林某(37) 見(179113) 事跡(978) 敗露(586) 承認(25871) 投開票所(Unknown) 報告表(14) 上(1233218) 的(16029838) 登記(11083) 有(2217079) 誤(3778) 案(11719) 經(38471) 宋楚瑜(491) 張昭雄(34) 提出(63073) 告訴(122898),"{'High': 39, 'Low': 11}","{'Unknown': 27, '第7級': 2, '第5級': 2, '第3*級': 1, '第2級': 4, '第4*級': 5, '第1級': 5, '第1*級': 2, '第6級': 2}",14,Y,Y,N,Y
高雄地檢署偵查認為，林家敏身為選務人員，竟因個人對於候選人主觀的好惡，而故意使投票發生不正確的結果，嚴重斲喪選舉制度，依偽造文書罪嫌將他起訴，並向法官求處一年六月徒刑。,高雄 地檢署 偵查 認為 林家敏 身為 選務 人員 竟 因 個人 對於 候選人 主觀 的 好惡 而 故意 使 投票 發生 不 正確 的 結果 嚴重 斲喪 選舉 制度 依 偽造 文書 罪嫌 將 他 起訴 並 向 法官 求處 一年 六月 徒刑,43,高雄(4674) 地檢署(52) 偵查(1265) 認為(192030) 林家敏(Unknown) 身為(18072) 選務(47) 人員(49261) 竟(35425) 因(119364) 個人(76253) 對於(99570) 候選人(4847) 主觀(6792) 的(16029838) 好惡(1091) 而(937923) 故意(15929) 使(197544) 投票(3695) 發生(129211) 不(2282521) 正確(36593) 的(16029838) 結果(114008) 嚴重(39284) 斲喪(71) 選舉(8292) 制度(37973) 依(37519) 偽造(1809) 文書(3630) 罪嫌(182) 將(448374) 他(2487930) 起訴(1999) 並(442790) 向(231672) 法官(8999) 求處(Unknown) 一年(29) 六月(14880) 徒刑(460),"{'High': 37, 'Low': 6}","{'Unknown': 13, '第7級': 1, '第2級': 2, '第6級': 5, '第5級': 9, '第4*級': 2, '第4級': 4, '第1級': 4, '第3級': 1, '第3*級': 2}",3,Y,Y,N,Y
今年元月廿九日被大陸漁工挾持至關島的基隆籍漁船「順興八十八號」，八名大陸漁工被當地警方查獲，檢察官依海盜罪偵查起訴，船主陳英仁四日指出，近日接獲駐關島辦事處通知，該八名大陸漁工獲判無罪。,今年 元月 廿九日 被 大陸 漁工 挾持 至 關島 的 基隆籍 漁船 順興 八十八號 八 名 大陸 漁工 被 當地 警方 查獲 檢察官 依 海盜罪 偵查 起訴 船主 陳英仁 四日 指出 近日 接獲 駐 關島 辦事處 通知 該 八 名 大陸 漁工 獲判 無罪,44,今年(10836) 元月(856) 廿九日(119) 被(540683) 大陸(27031) 漁工(38) 挾持(738) 至(101530) 關島(112) 的(16029838) 基隆籍(1) 漁船(1537) 順興(3) 八十八號(13) 八(54961) 名(136287) 大陸(27031) 漁工(38) 被(540683) 當地(23011) 警方(8008) 查獲(259) 檢察官(2517) 依(37519) 海盜罪(2) 偵查(1265) 起訴(1999) 船主(431) 陳英仁(Unknown) 四日(3242) 指出(38456) 近日(1497) 接獲(1016) 駐(9170) 關島(112) 辦事處(1515) 通知(9047) 該(148369) 八(54961) 名(136287) 大陸(27031) 漁工(38) 獲判(11) 無罪(1896),"{'High': 35, 'Low': 9}","{'第1級': 4, 'Unknown': 21, '第2級': 4, '第3*級': 3, '第7級': 3, '第5級': 1, '第4*級': 3, '第6級': 4, '第4級': 1}",7,Y,N,N,Y
陳英仁憤慨的指出，事發後政府未提供任何協助，今後類似劫持事件仍可能發生。,陳英仁 憤慨 的 指出 事發 後 政府 未 提供 任何 協助 今後 類似 劫持 事件 仍 可能 發生,18,陳英仁(Unknown) 憤慨(1258) 的(16029838) 指出(38456) 事發(990) 後(422857) 政府(92663) 未(101927) 提供(73097) 任何(131795) 協助(28701) 今後(5606) 類似(29985) 劫持(596) 事件(59059) 仍(92056) 可能(271025) 發生(129211),"{'Low': 1, 'High': 17}","{'Unknown': 4, '第7級': 1, '第1級': 3, '第4級': 2, '第5級': 3, '第4*級': 4, '第3級': 1}",1,Y,N,N,Y
昨日上午，陳英仁與船長宋教仁妻子何阿蘭、瑞益號船長李進德相約，在區漁會大吐苦水，何阿蘭表示，本月二日接獲台北駐關島經濟文化辦事處李秘書電話，順興八十八號涉嫌在公海打劫的八名大陸漁工，因罪證不足獲判決無罪，先前宋教仁提供涉案漁工凶刀等證物將一併寄還。,昨日 上午 陳英仁 與 船長 宋教仁 妻子 何阿蘭 瑞益號 船長 李進德 相約 在 區漁會 大吐 苦水 何阿蘭 表示 本 月 二日 接獲 台北 駐 關島 經濟 文化 辦事處 李 秘書 電話 順興 八十八號 涉嫌 在 公海 打劫 的 八 名 大陸 漁工 因 罪證 不足 獲 判決 無罪 先前 宋教仁 提供 涉案 漁工 凶刀 等 證物 將 一併 寄還,59,昨日(2036) 上午(6241) 陳英仁(Unknown) 與(968432) 船長(3448) 宋教仁(324) 妻子(33898) 何阿蘭(Unknown) 瑞益號(Unknown) 船長(3448) 李進德(Unknown) 相約(1099) 在(3284238) 區漁會(6) 大吐(110) 苦水(390) 何阿蘭(Unknown) 表示(74452) 本(197156) 月(148997) 二日(3130) 接獲(1016) 台北(22242) 駐(9170) 關島(112) 經濟(83046) 文化(115697) 辦事處(1515) 李(17994) 秘書(5656) 電話(38698) 順興(3) 八十八號(13) 涉嫌(2037) 在(3284238) 公海(126) 打劫(390) 的(16029838) 八(54961) 名(136287) 大陸(27031) 漁工(38) 因(119364) 罪證(426) 不足(20371) 獲(11610) 判決(4608) 無罪(1896) 先前(12765) 宋教仁(324) 提供(73097) 涉案(613) 漁工(38) 凶刀(4) 等(327380) 證物(377) 將(448374) 一併(2713) 寄還(1),"{'High': 47, 'Low': 12}","{'第5級': 5, '第1級': 6, 'Unknown': 28, '第4*級': 6, '第7級': 3, '第1*級': 2, '第6級': 4, '第4級': 1, '第2級': 2, '第3*級': 2}",10,Y,Y,N,Y
陳英仁指出，順興八十八號漁船於去年十一月廿七日自基隆港出海赴北太平洋作業四十天，今年一月廿三日被船上大陸漁工挾持，輪機長黃金發手部被砍殺一刀，船長宋教仁被迫開往關島，同月廿九日於關島港外，八名大陸漁工泅水上岸立即被當地警方查獲。,陳英仁 指出 順興 八十八號 漁船 於 去年 十一月 廿七日 自 基隆港 出海 赴 北 太平洋 作業 四十 天 今年 一月 廿三日 被 船 上 大陸 漁工 挾持 輪機長 黃金發 手部 被 砍殺 一 刀 船長 宋教仁 被迫 開往 關島 同 月 廿九日 於 關島港 外 八 名 大陸 漁工 泅水 上岸 立即 被 當地 警方 查獲,56,陳英仁(Unknown) 指出(38456) 順興(3) 八十八號(13) 漁船(1537) 於(327210) 去年(9462) 十一月(12863) 廿七日(127) 自(59676) 基隆港(286) 出海(2031) 赴(12878) 北(20351) 太平洋(4964) 作業(16954) 四十(15256) 天(330413) 今年(10836) 一月(8186) 廿三日(182) 被(540683) 船(45130) 上(1233218) 大陸(27031) 漁工(38) 挾持(738) 輪機長(18) 黃金發(1) 手部(803) 被(540683) 砍殺(503) 一(3701681) 刀(22629) 船長(3448) 宋教仁(324) 被迫(8701) 開往(855) 關島(112) 同(102917) 月(148997) 廿九日(119) 於(327210) 關島港(Unknown) 外(109310) 八(54961) 名(136287) 大陸(27031) 漁工(38) 泅水(43) 上岸(2260) 立即(28594) 被(540683) 當地(23011) 警方(8008) 查獲(259),"{'Low': 9, 'High': 47}","{'Unknown': 27, '第7級': 2, '第5級': 6, '第1級': 9, '第6級': 1, '第2級': 6, '第3級': 1, '第3*級': 2, '第2*級': 1, '第4*級': 1}",12,Y,N,N,Y
該案係正式向美方提出報案的首件，陳英仁說，涉案者被羈押，依海盜罪起訴，當地媒體也相當重視，法院並於二月五日開庭審理，宋教仁、黃金發並於四月廿三日至關島法院出庭作證。,該 案 係 正式 向 美方 提出 報案 的 首 件 陳英仁 說 涉案 者 被 羈押 依 海盜罪 起訴 當地 媒體 也 相當 重視 法院 並 於 二月 五日 開庭 審理 宋教仁 黃金發 並 於 四月 廿三日 至 關島 法院 出庭 作證,43,該(148369) 案(11719) 係(9477) 正式(23229) 向(231672) 美方(1112) 提出(63073) 報案(796) 的(16029838) 首(44848) 件(139257) 陳英仁(Unknown) 說(1285247) 涉案(613) 者(423504) 被(540683) 羈押(302) 依(37519) 海盜罪(2) 起訴(1999) 當地(23011) 媒體(32308) 也(1590760) 相當(66293) 重視(23501) 法院(7533) 並(442790) 於(327210) 二月(12791) 五日(3880) 開庭(851) 審理(1789) 宋教仁(324) 黃金發(1) 並(442790) 於(327210) 四月(14996) 廿三日(182) 至(101530) 關島(112) 法院(7533) 出庭(954) 作證(1638),"{'High': 40, 'Low': 3}","{'第4*級': 6, '第6級': 3, '第3*級': 1, '第2級': 2, 'Unknown': 16, '第5級': 6, '第1級': 3, '第1*級': 1, '第4級': 2, '第3級': 1, '第7級': 2}",5,Y,Y,N,Y
